Estimate Status,Year,Angler Trips,PSE
FINAL,1981,26083323,5.3
FINAL,1982,32460050,3.6
FINAL,1983,38132044,5.6
FINAL,1984,39670444,3.7
FINAL,1985,38983566,4.9
FINAL,1986,34074143,3.9
FINAL,1987,34660256,3.7
FINAL,1988,39594243,3.3
FINAL,1989,41721013,3.7
FINAL,1990,40340968,3.4
FINAL,1991,48080330,3.8
FINAL,1992,41787335,2.7
FINAL,1993,46701443,2.9
FINAL,1994,46292424,2.5
FINAL,1995,44176445,2.4
FINAL,1996,43747035,2.5
FINAL,1997,44709767,2.6
FINAL,1998,47293500,2.5
FINAL,1999,53027945,2.4
FINAL,2000,55683716,2.6
FINAL,2001,58326726,2.4
FINAL,2002,54116565,2.4
FINAL,2003,58021786,2.4
FINAL,2004,65631742,3.1
FINAL,2005,58065493,3.1
FINAL,2006,54525538,3
FINAL,2007,58340862,3
FINAL,2008,60031379,2.6
FINAL,2009,56737966,2.7
FINAL,2010,60507536,2.9
FINAL,2011,61758127,2.8
FINAL,2012,66530500,2.7
FINAL,2013,68173967,2.7
FINAL,2014,49418580,3.6
FINAL,2015,47153293,3.9
FINAL,2016,50973931,4.2
FINAL,2017,55181217,5.1
FINAL,2018,52232005,4.9
FINAL,2019,46548496,4.8
FINAL,2020,53118428,4.9
FINAL,2021,49143407,5
PRELIMINARY,2022,15741815,8.9
